ID;Datetime;Status
0804447;06/01/2025 07:09;In
0813432;06/01/2025 07:24;In
0055024;06/01/2025 08:09;In
0748083;06/01/2025 08:22;In
0078657;06/01/2025 08:35;In
0193586;06/01/2025 08:41;In
0673615;06/01/2025 09:28;In
0185217;06/01/2025 09:57;In
0748083;06/01/2025 16:15;Out
0804447;06/01/2025 16:21;Out
0185217;06/01/2025 16:25;Out
0813432;06/01/2025 17:01;Out
0078657;06/01/2025 17:43;Out
0055024;06/01/2025 17:44;Out
0193586;06/01/2025 17:47;Out
0673615;06/01/2025 17:48;Out
0813432;07/01/2025 07:54;In
0748083;07/01/2025 08:04;In
0804447;07/01/2025 08:10;In
0185217;07/01/2025 08:39;In
0193586;07/01/2025 08:48;In
0055024;07/01/2025 09:32;In
0673615;07/01/2025 09:43;In
0078657;07/01/2025 09:59;In
0055024;07/01/2025 16:36;Out
0185217;07/01/2025 16:39;Out
0193586;07/01/2025 16:58;Out
0673615;07/01/2025 17:08;Out
0804447;07/01/2025 17:14;Out
0078657;07/01/2025 17:22;Out
0748083;07/01/2025 17:35;Out
0813432;07/01/2025 18:44;Out
